School_Name,ELA Math Science_# ELA Proficiency,SAT_SAT Reading Average Score,SAT_SAT Math Average Score,ISA_# ISA Proficiency Total Student,Latitude,Longitude
Herzl Elem School,11.0,,,5.0,41.8616042,-87.7184243
Hibbard Elem School,71.0,,,45.0,41.970878,-87.7103822
Higgins Elem Community Academy,24.0,,,14.0,41.6808757,-87.64739949999999
King Academy of Social Justice,13.0,,,5.0,41.7654836,-87.64133179999999
Hitch Elem School,129.0,,,65.0,41.984102,-87.778823
Holden Elem School,75.0,,,39.0,41.8381049,-87.6541439
Polaris Elem Charter Academy,24.0,,,17.0,41.8923248,-87.7081276
Holmes Elem School,5.0,,,4.0,41.7933351,-87.6496207
Howe Elem School,15.0,,,7.0,41.8781136,-87.6297982
Hoyne Elem School,31.0,,,16.0,41.8781136,-87.6297982
Hughes  C Elem School,2.0,,,2.0,41.8781136,-87.6297982
Hurley Elem School,154.0,,,90.0,41.7664033,-87.7191981
Irving Elem School,22.0,,,13.0,41.8717744,-87.6829987
Chicago World Language Academy,132.0,,,54.0,41.8747919,-87.6612967
Jahn Elem School,43.0,,,19.0,41.9391624,-87.67538789999999
Jamieson Elem School,218.0,,,106.0,41.9844136,-87.70096590000001
Jensen Elem Scholastic Academy,28.0,,,28.0,41.8781136,-87.6297982
Pilsen Elem Community Academy,17.0,,,8.0,41.8590612,-87.66314770000001
Catalyst Charter-Circle Rock ES,65.0,,,25.0,41.8781136,-87.6297982
Johnson Elem School,4.0,,,2.0,41.8781136,-87.6297982
Jungman Elem School,65.0,,,28.0,41.8585624,-87.6525236
Kellogg Elem School,106.0,,,38.0,41.7252518,-87.6768302
Kershaw Elem School,30.0,,,9.0,41.77653309999999,-87.64100119999999
Kilmer Elem School,92.0,,,59.0,42.0043286,-87.6686692
Kinzie Elem School,270.0,,,91.0,41.7902633,-87.77900989999999
Academy for Global Citizenship,44.0,,,23.0,41.8133129,-87.7476851
Kipling Elem School,24.0,,,24.0,41.8781136,-87.6297982
Lozano Elem Bilingual & Intl Ctr,9.0,,,9.0,41.9078093,-87.6645798
Kozminski Elem Community Academy,18.0,,,9.0,41.8781136,-87.6297982
LaSalle Elem Language Academy,147.0,,,55.0,41.9139613,-87.6376873
Lawndale Elem Community Academy,8.0,,,1.0,41.863198,-87.7133175
Rowe Elementary,88.0,,,76.0,41.9078008,-87.664446
Lewis Elem School,28.0,,,15.0,41.9067369,-87.75363349999999
Libby Elem School,30.0,,,17.0,41.7965416,-87.6600462
Lincoln Elem School,413.0,,,155.0,41.92436430000001,-87.6445385
Linne Elem School,104.0,,,53.0,41.9402685,-87.70241949999999
Lloyd Elem School,57.0,,,33.0,41.9190964,-87.7473455
Locke  J Elem School,144.0,,,92.0,41.9316578,-87.79592989999999
Lovett Elem School,42.0,,,15.0,41.9124905,-87.78422979999999
Lowell Elem School,30.0,,,17.0,41.8781136,-87.6297982
Lyon Elem School,173.0,,,124.0,41.8781136,-87.6297982
Madison Elem School,21.0,,,10.0,41.8781136,-87.6297982
Manierre Elem School,6.0,,,2.0,41.9079248,-87.6401181
Mann Elem School,45.0,,,28.0,41.8781136,-87.6297982
Catalyst Charter - Maria ES,85.0,424.9,399.6,61.0,41.8781136,-87.6297982
Marquette Elem School,73.0,,,35.0,41.7740243,-87.69724599999999
Marsh Elem School,82.0,,,53.0,41.7164106,-87.55310519999999
Mason Elem School,18.0,,,5.0,41.8781136,-87.6297982
Mayer Elem School,260.0,,,90.0,41.9232391,-87.65803939999999
Minnie Minoso Academy,63.0,,,18.0,41.8303859,-87.64096250000001
Montessori of Englewood Chtr ES,22.0,,,14.0,41.775305,-87.6416419
McCormick Elem School,16.0,,,25.0,41.84201909999999,-87.7065838
McCutcheon Elem School,39.0,,,12.0,41.8781136,-87.6297982
McDade Elem Classical School,97.0,,,32.0,41.7343416,-87.6186754
McKay Elem School,43.0,,,19.0,41.8781136,-87.6297982
McPherson Elem School,82.0,,,36.0,41.8781136,-87.6297982
Melody Elem School,12.0,,,4.0,41.8781136,-87.6297982
Mitchell Elem School,120.0,,,54.0,41.8919313,-87.6834719
Mollison Elem School,6.0,,,16.0,41.8143614,-87.615933
Monroe Elem School,75.0,,,53.0,41.9295238,-87.7190828
Moos Elem School,36.0,,,22.0,41.9130714,-87.69633499999999
Morrill Elem Math & Sci School,41.0,,,35.0,41.8781136,-87.6297982
Inter-American Elem Magnet School,128.0,,,64.0,41.9485542,-87.6517124
Christopher House Chrt ES,55.0,,,39.0,41.8781136,-87.6297982
Mount Greenwood Elem School,347.0,,,208.0,41.6915904,-87.7008049
Mount Vernon Elem School,24.0,,,4.0,41.7022519,-87.648286
Mozart Elem School,44.0,,,27.0,41.9213348,-87.72241650000001
Murphy Elem School,83.0,,,49.0,41.9497364,-87.7170874
Murray Elem Language Academy,95.0,,,39.0,41.7982087,-87.59251689999999
Brown R Elem Community Acad,33.0,,,17.0,41.8781136,-87.6297982
