"school_name","distance_to_nearest_park_miles","duration","nearest_park","ela_proficiency","SAT_average_reading_score","SAT_average_math_score","isa_proficiency","latitude","longitude"
"Cuffe Math-Sci Tech Elem Academy",0.4,9,"FOSTER (J. FRANK)",28,NA,NA,13,41.7424646,-87.6539083
"Cullen Elem School",0.6,13,"PARK NO. 588",22,NA,NA,16,41.7002763,-87.6116522
"Curie Metropolitan High School",0.4,9,"CURIE (MARIE)",74,441.8,431.2,95,41.8022427,-87.72167
"Curtis Elem School",0.7,15,"PALMER (POTTER)",7,NA,NA,3,41.6857787,-87.6220484
"Daisy Bates Academy of Social Justice",0.2,4,"PRITZKER",20,NA,NA,16,41.8781136,-87.6297982
"Daley Elem Academy",0.2,4,"CORNELL (PAUL) SQUARE",9,NA,NA,15,41.8024364,-87.6724829
"Darwin Elem School",0.2,4,"PRITZKER",65,NA,NA,30,41.8781136,-87.6297982
"Davis M Magnet Elem School",0.2,4,"PRITZKER",9,NA,NA,10,41.8781136,-87.6297982
"Davis N Elem School",0.2,4,"PRITZKER",19,NA,NA,35,41.8781136,-87.6297982
"Dawes Elem School",0.2,3,"BOGAN (WILLIAM)",128,NA,NA,83,41.7453732,-87.7180313
"De Diego Elem Community Academy",0.3,7,"PARK NO. 399",35,NA,NA,24,41.9052614,-87.685685
"Decatur Classical Elem School",0.2,4,"LERNER (LEO)",191,NA,NA,55,42.0095453,-87.7049571
"Deneen Elem School",0.5,12,"MEYERING (WILLIAM)",34,NA,NA,13,41.7624357,-87.623708
"Depriest Elem School",0.4,8,"COLUMBUS (CHRISTOPHER)",21,NA,NA,18,41.8780204,-87.7661176
"Dett Elem School",0.1,2,"TOUHY-HERBERT (JOHN, VICTOR)",1,NA,NA,2,41.8797104,-87.6804568
"Dever Elem School",0.8,18,"SHABBONA",105,NA,NA,65,41.9425567,-87.8135905
"Devry Advantage Academy High Schl",0.3,6,"VOGLE (HENRY JR.)",20,503,495.7,29,41.9689156,-87.6765729
"Dewey Elem Academy of Fine Arts",0.3,6,"PARK NO. 421",21,NA,NA,10,41.7959743,-87.6423053
"Dirksen Elem School",0.2,4,"PRITZKER",187,NA,NA,101,41.8781136,-87.6297982
"Disney Elem Magnet School",0.2,4,"PRITZKER",357,NA,NA,169,41.8781136,-87.6297982
